Number of Nodes,Brushfire mean,Standard deviation of Brushfire,NNs mean,Mean distance,Mean minimun distance,Class
45.0,3.08,1.14374628111,2.4444444444,7.772272404675,0.500188553355,0.0
11.0,2.122727272725,1.6523211822350001,1.9090909091,5.51939661958,1.0838953804749998,0.0
16.0,2.165625,1.20541988924,2.1875,3.7984302590900003,0.7877992088450001,0.0
19.0,2.984210526315,1.4995659575150002,2.4210526316,3.793706388055,0.2812651722200001,0.0
14.0,2.857142857145,1.6746915646550002,2.2142857143,3.61045238209,0.595732577655,0.0
12.0,2.025,1.1776565713299998,2.25,3.441394904,0.39386745631000003,0.0
174.0,1.1227011494252874,0.4104093167071846,2.735632183908046,8.479181473804225,0.3850847391522704,0.0
39.0,1.2782051282051285,0.5242570899701385,2.5384615384615383,4.53209742074829,0.7748419948034828,0.0
38.0,1.3118421052631581,0.3813815278773924,2.6052631578947367,3.587907065709287,0.4799560251697682,0.0
91.0,1.239010989010989,0.4628389579304477,2.791208791208791,4.074415131884647,0.2851964694259556,0.0
59.0,1.0483050847457627,0.4280390942955232,2.7288135593220337,4.091586332796396,0.523563800906344,0.0
39.0,1.1461538461538463,0.2502267216521786,2.641025641025641,2.9952079668168,0.41731586388668473,0.0
41.0,1.1914634146341465,0.34954717030934046,2.073170731707317,16.46053495974355,1.8037819503081363,1.0
1.0,1.1,0.0,2.0,1.5524174696260027,1.5524174696260027,1.0
46.0,1.4271739130434786,0.3033699351952006,2.1739130434782608,7.555045962594135,1.3478038928501999,1.0
2.0,1.625,0.125,1.5,1.5700318468107581,1.5700318468107581,1.0
17.0,1.7264705882352942,0.7930057575376673,2.3529411764705883,3.3579289266034418,0.5240335104679986,0.0
12.0,3.7916666666666665,1.1971899969883182,2.4166666666666665,3.0646842852633274,0.8343501490042371,0.0
14.0,3.189285714285715,2.0767573084901727,2.2142857142857144,6.0848517024424025,1.5508932073522963,0.0
5.0,1.1300000000000001,0.7467261881037788,1.8,3.0507766083716037,0.801074278669414,1.0
12.0,2.4541666666666675,0.8493768140361628,2.083333333333333,2.944155994984898,0.4304423979170145,0.0
3.0,5.800000000000001,0.0,2.0,5.333542180545149,3.933651824922473,1.0
4.0,5.675000000000001,2.33063832457977,1.75,30.01556065307579,14.116869040598155,0.0
4.0,4.3125,0.0414578098794425,2.0,1.6520318591940066,0.9531876904890432,1.0
8.0,6.6937500000000005,0.7472606222062019,2.75,1.5405171950355208,0.05,0.0
11.0,3.2136363636363634,0.06772574738977882,2.8181818181818183,8.137227296510295,0.8136953562765319,1.0
3.0,6.266666666666666,0.023570226039551584,1.6666666666666667,1.3337552742291239,0.6835469734377053,0.0
2.0,3.2750000000000004,0.025,1.5,3.0004166377354995,3.0004166377354995,0.0
5.0,6.260000000000001,0.020000000000000004,1.8,1.1508358684954085,0.46106296979638045,0.0
2.0,4.525,0.875,2.0,6.77421582177598,6.77421582177598,0.0
2.0,3.625,0.025,1.5,2.85,2.85,0.0
2.0,2.025,1.375,1.5,5.903600596246329,5.903600596246329,0.0
8.0,6.987500000000001,0.8590510753150827,2.125,20.713489114601412,3.76880360644283,0.0
5.0,12.4,0.1224744871391589,2.4,0.2600181852161986,0.05,0.0
5.0,4.63,0.024494897427831782,1.8,7.940265667043602,3.290288719969022,1.0
10.0,7.755,4.737797484063665,2.0,14.712562261098725,1.1019562354403818,0.0
6.0,6.408333333333333,1.2084482703956434,1.8333333333333333,10.27419225391895,1.8759104857833968,0.0
17.0,4.158823529411765,1.3822653288881865,2.3529411764705883,17.599850263511392,1.603423548860128,0.0
5.0,9.82,2.588358553214759,2.0,4.9928396069352985,0.35038404810405294,0.0
8.0,5.0062500000000005,0.029973947020704494,2.125,5.371735121311175,1.793968796039514,1.0
13.0,12.646153846153846,3.0877837171705647,2.6153846153846154,12.821215393471347,1.5147225665227295,0.0
7.0,7.071428571428571,1.948049783548581,2.142857142857143,2.9780149762231365,1.2602616937412447,0.0
