Number of Nodes,Brushfire mean,NNs mean,Mean distance,Mean minimun distance,Class
39,25.5641025641,2.5384615385,90.641948415,15.4968398961,0
178,22.2696629213,2.7303370787,170.4038511001,7.5057958471,0
38,25.9736842105,2.6052631579,71.8516266192,8.9919972165,0
65,20.0153846154,2.6923076923,84.100830056,9.4168196751,0
91,24.7802197802,2.7912087912,81.4883026377,5.6906540288,0
39,22.9230769231,2.641025641,59.9246931759,8.3686752093,0
16,24.8125,2.0625,195.6193096371,37.1835338436,1
21,22.1904761905,2.0952380952,246.8053803177,38.486156179,1
20,30.35,2,191.2604460631,41.4837838739,1
1,24,2,,,1
1,26,2,,,1
8,25.5,2,120.7839810243,32.5424693161,1
2,32.5,1.5,31.4006369362,31.4006369362,1
1,35,2,,,1
11,42.4545454545,1.9090909091,110.3879323916,21.6779076095,0
45,61.6,2.4444444444,155.4454480935,8.7370480673,0
21,41.0476190476,2.2380952381,69.5667868075,10.4125253662,0
14,57.1428571429,2.2142857143,72.2090476418,11.9146515531,0
18,59.1666666667,2.4444444444,78.2449071231,12.0712329467,0
12,40.5,2.25,68.82789808,7.8773491262,0
12,75.8333333333,2.4166666667,61.2936857053,16.6870029801,0
22,33.0454545455,2.3636363636,68.4797381443,7.0525580011,0
16,64.625,2.1875,115.0333062449,28.3560462369,0
5,22.6,1.8,61.0155321674,16.0214855734,0
12,49.0833333333,2.0833333333,58.8831198997,8.6088479583,0
