Number of Nodes,Brushfire mean,NNs mean,Mean distance,Mean minimun distance,Class
6,59.8333333333,1.6666666667,95.2740192027,35.7889037189,0
9,22.3333333333,1.8888888889,90.8943112192,35.7987666359,0
11,55.5454545455,2,136.8611554368,50.6790541479,0
4,26.25,2,59.3954088202,35.4849133459,0
6,45.8333333333,1.8333333333,70.1509246314,34.6644963893,0
6,37.6666666667,2,132.6726552578,80.9912901123,0
20,48.35,1.95,175.9359016772,30.2980358096,0
10,33.3,1.8,97.9225640593,22.358401341,0
6,44.5,1.8333333333,104.9968616964,54.7272220294,0
7,31.5714285714,1.7142857143,137.0706041946,49.6524189306,0
6,29.8333333333,1.8333333333,84.9733568794,33.4973624107,0
16,24.8125,2.0625,195.6193096371,37.1835338436,1
21,22.1904761905,2.0952380952,246.8053803177,38.486156179,1
20,30.35,2,191.2604460631,41.4837838739,1
1,24,2,,,1
1,26,2,,,1
8,25.5,2,120.7839810243,32.5424693161,1
2,32.5,1.5,31.4006369362,31.4006369362,1
1,35,2,,,1
24,18.25,2.0833333333,110.7842786804,28.9527452223,0
65,19.2769230769,2.0769230769,178.5338866459,23.2301712611,0
14,20.4285714286,2.1428571429,78.5993282276,30.2944237788,0
30,15.9,2.0333333333,97.3041386695,21.4761392788,0
29,19.6551724138,2.0689655172,85.7807861153,23.1995468271,0
15,18.6666666667,2.0666666667,70.8125187264,28.5266028191,0
