Number of Nodes,Brushfire mean,NNs mean,Mean distance,Mean minimun distance,Class
12,75.8333333333,2.4166666667,61.2936857053,16.6870029801,0
22,33.0454545455,2.3636363636,68.4797381443,7.0525580011,0
16,64.625,2.1875,115.0333062449,29.7687456538,0
5,22.6,1.8,61.0155321674,16.0214855734,0
12,49.0833333333,2.0833333333,58.8831198997,8.6088479583,0
11,42.4545454545,1.9090909091,110.3879323916,21.6779076095,0
45,61.6,2.4444444444,155.4454480935,10.0037710671,0
21,41.0476190476,2.2380952381,69.5667868075,12.3378927062,0
14,57.1428571429,2.2142857143,72.2090476418,11.9146515531,0
18,59.1666666667,2.4444444444,78.2449071231,12.1465861336,0
12,40.5,2.25,68.82789808,7.8773491262,0
39,25.5641025641,2.5384615385,90.641948415,15.4968398961,0
178,22.2696629213,2.7303370787,170.4038511001,7.5271494803,0
38,25.9736842105,2.6052631579,71.8516266192,9.4630264804,0
65,20.0153846154,2.6923076923,84.100830056,9.4413057064,0
91,24.7802197802,2.7912087912,81.4883026377,5.7039293885,0
39,22.9230769231,2.641025641,59.9246931759,8.3686752093,0
46,23.2608695652,2.1086956522,327.7198503476,31.48839025,1
1,27,2,51.0098029794,51.0098029794,1
22,31.1818181818,2.1363636364,170.388224386,33.501849123,1
3,28.6666666667,2,73.4420907167,61.2066583709,1
3,19.3333333333,2,19.9558763477,16.0321073632,1
15,26.3333333333,2.3333333333,98.4349762203,14.613174608,1
2,32.5,1.5,31.4006369362,31.4006369362,1
